ID,Globalisation_score
BTN_1994,23.43
BTN_1995,23.69
BTN_1996,23.69
BTN_1997,23.96
BTN_1998,24.06
BTN_1999,24.40
BTN_2000,25.23
BTN_2001,26.00
BTN_2002,26.24
BTN_2003,25.34
BTN_2004,27.21
BTN_2005,27.17
BTN_2006,28.03
BTN_2007,27.68
BTN_2008,28.47
BTN_2009,29.27
BTN_2010,28.97
BTN_2011,29.17
BWA_1970,34.60
BWA_1971,35.16
BWA_1972,36.24
BWA_1973,36.62
BWA_1974,36.42
BWA_1975,36.89
BWA_1976,42.11
BWA_1977,42.41
BWA_1978,42.48
BWA_1979,42.36
BWA_1980,42.92
BWA_1981,41.91
BWA_1982,42.07
BWA_1983,44.02
BWA_1984,44.06
BWA_1985,44.53
BWA_1986,44.98
BWA_1987,44.19
BWA_1988,44.09
BWA_1989,42.58
BWA_1990,42.21
BWA_1991,41.71
BWA_1992,40.83
BWA_1993,45.98
BWA_1994,46.93
BWA_1995,42.18
BWA_1996,43.77
BWA_1997,45.09
BWA_1998,46.25
BWA_1999,46.88
BWA_2000,49.09
BWA_2001,49.74
BWA_2002,50.92
BWA_2003,51.06
BWA_2004,50.29
BWA_2005,48.17
BWA_2006,53.99
BWA_2007,54.91
BWA_2008,55.27
BWA_2009,52.01
BWA_2010,46.71
BWA_2011,44.51
CAF_1970,23.08
CAF_1971,23.01
CAF_1972,23.02
CAF_1973,24.72
CAF_1974,24.28
CAF_1975,23.97
CAF_1976,23.64
CAF_1977,24.54
CAF_1978,24.39
CAF_1979,25.06
CAF_1980,24.37
CAF_1981,24.53
CAF_1982,25.22
CAF_1983,26.40
CAF_1984,27.03
CAF_1985,26.29
CAF_1986,25.25
CAF_1987,24.76
CAF_1988,23.37
CAF_1989,23.20
CAF_1990,21.86
CAF_1991,22.18
CAF_1992,22.32
CAF_1993,22.66
CAF_1994,24.90
CAF_1995,25.32
CAF_1996,25.64
CAF_1997,26.59
CAF_1998,26.44
CAF_1999,26.45
CAF_2000,26.86
CAF_2001,26.80
CAF_2002,26.38
CAF_2003,26.80
CAF_2004,26.64
CAF_2005,31.32
CAF_2006,34.22
CAF_2007,32.70
CAF_2008,33.64
CAF_2009,35.59
CAF_2010,35.69
CAF_2011,35.62
CAN_1970,69.84
CAN_1971,70.83
CAN_1972,70.99
CAN_1973,72.08
CAN_1974,72.79
CAN_1975,72.87
CAN_1976,77.64
CAN_1977,78.37
CAN_1978,79.24
CAN_1979,79.82
CAN_1980,79.77
CAN_1981,79.80
CAN_1982,79.30
CAN_1983,79.20
CAN_1984,80.10
CAN_1985,80.00
CAN_1986,79.87
CAN_1987,79.95
CAN_1988,79.75
CAN_1989,79.35
CAN_1990,79.22
CAN_1991,80.75
CAN_1992,81.66
CAN_1993,82.74
CAN_1994,83.71
CAN_1995,85.02
CAN_1996,85.40
CAN_1997,86.49
CAN_1998,87.48
CAN_1999,88.40
CAN_2000,89.12
CAN_2001,88.55
CAN_2002,87.63
CAN_2003,87.52
CAN_2004,87.69
CAN_2005,87.19
CAN_2006,86.71
CAN_2007,86.78
CAN_2008,86.76
CAN_2009,86.26
CAN_2010,86.25
CAN_2011,85.63
CHE_1970,63.40
CHE_1971,63.57
CHE_1972,63.64
CHE_1973,68.83
CHE_1974,68.84
CHE_1975,69.05
CHE_1976,73.86
CHE_1977,74.99
CHE_1978,75.70
CHE_1979,76.48
CHE_1980,76.67
CHE_1981,77.51
CHE_1982,77.30
CHE_1983,76.93
CHE_1984,77.49
CHE_1985,77.95
CHE_1986,77.95
CHE_1987,77.47
CHE_1988,76.33
CHE_1989,81.27
CHE_1990,81.29
CHE_1991,83.87
CHE_1992,84.42
CHE_1993,85.86
CHE_1994,86.17
CHE_1995,86.41
CHE_1996,87.17
CHE_1997,88.45
CHE_1998,89.88
CHE_1999,91.59
CHE_2000,91.74
CHE_2001,91.05
CHE_2002,90.54
CHE_2003,90.55
CHE_2004,88.15
CHE_2005,88.96
CHE_2006,88.28
CHE_2007,88.70
CHE_2008,87.01
CHE_2009,87.19
CHE_2010,87.40
CHE_2011,85.74
CHL_1970,45.81
CHL_1971,45.73
CHL_1972,46.25
CHL_1973,46.26
CHL_1974,47.08
CHL_1975,47.87
CHL_1976,48.13
CHL_1977,48.27
CHL_1978,49.13
CHL_1979,49.98
CHL_1980,51.83
CHL_1981,51.03
CHL_1982,50.80
CHL_1983,51.56
CHL_1984,51.44
CHL_1985,51.58
CHL_1986,51.86
CHL_1987,51.35
CHL_1988,50.53
CHL_1989,49.96
CHL_1990,53.56
CHL_1991,56.84
CHL_1992,57.68
CHL_1993,58.85
CHL_1994,60.60
CHL_1995,61.72
CHL_1996,61.85
CHL_1997,63.69
CHL_1998,64.29
CHL_1999,65.82
CHL_2000,66.80
CHL_2001,69.10
CHL_2002,68.76
CHL_2003,69.74
CHL_2004,71.50
CHL_2005,71.87
CHL_2006,72.99
CHL_2007,74.30
CHL_2008,74.04
CHL_2009,73.24
CHL_2010,72.97
CHL_2011,72.41
CHN_1970,16.28
CHN_1971,16.94
CHN_1972,17.88
CHN_1973,18.47
CHN_1974,19.01
CHN_1975,19.21
CHN_1976,19.36
CHN_1977,19.64
CHN_1978,19.75
CHN_1979,19.79
CHN_1980,20.00
CHN_1981,21.24
CHN_1982,21.49
CHN_1983,21.86
CHN_1984,22.58
CHN_1985,23.28
CHN_1986,24.59
CHN_1987,25.06
CHN_1988,25.83
CHN_1989,25.80
CHN_1990,34.24
CHN_1991,35.74
CHN_1992,36.91
CHN_1993,38.02
CHN_1994,39.46
CHN_1995,41.87
CHN_1996,42.67
CHN_1997,44.14
CHN_1998,50.17
CHN_1999,51.08
CHN_2000,52.18
CHN_2001,55.14
CHN_2002,55.96
CHN_2003,56.80
CHN_2004,59.13
CHN_2005,61.32
CHN_2006,60.42
CHN_2007,61.34
CHN_2008,60.36
CHN_2009,60.77
CHN_2010,60.99
CHN_2011,60.50
CIV_1970,32.21
CIV_1971,32.63
CIV_1972,32.95
CIV_1973,34.62
CIV_1974,35.35
CIV_1975,35.18
CIV_1976,35.36
CIV_1977,35.55
CIV_1978,35.82
CIV_1979,36.20
CIV_1980,36.69
CIV_1981,37.20
CIV_1982,37.45
CIV_1983,38.00
CIV_1984,38.35
CIV_1985,39.07
CIV_1986,38.07
CIV_1987,38.05
CIV_1988,38.15
CIV_1989,37.27
CIV_1990,36.71
CIV_1991,37.15
CIV_1992,36.78
CIV_1993,36.23
CIV_1994,37.58
CIV_1995,38.66
CIV_1996,39.68
CIV_1997,40.46
CIV_1998,45.61
CIV_1999,47.76
CIV_2000,48.54
CIV_2001,48.70
CIV_2002,50.03
CIV_2003,50.21
CIV_2004,50.47
CIV_2005,50.84
CIV_2006,51.65
CIV_2007,53.54
CIV_2008,52.67
CIV_2009,52.96
CIV_2010,52.05
CIV_2011,50.09
CMR_1970,24.71
CMR_1971,25.46
CMR_1972,25.43
CMR_1973,25.83
CMR_1974,26.79
CMR_1975,27.18
CMR_1976,27.48
CMR_1977,27.86
CMR_1978,28.27
CMR_1979,27.93
CMR_1980,29.14
CMR_1981,28.92
CMR_1982,29.65
CMR_1983,30.89
CMR_1984,31.82
CMR_1985,33.83
CMR_1986,30.68
CMR_1987,30.03
CMR_1988,29.54
CMR_1989,28.54
CMR_1990,29.04
CMR_1991,29.18
CMR_1992,35.84
CMR_1993,34.44
CMR_1994,29.66
CMR_1995,30.17
CMR_1996,32.42
CMR_1997,32.95
CMR_1998,36.40
CMR_1999,38.86
CMR_2000,39.33
CMR_2001,38.77
CMR_2002,40.85
CMR_2003,40.70
CMR_2004,43.56
CMR_2005,43.03
CMR_2006,42.42
CMR_2007,43.14
CMR_2008,42.68
CMR_2009,44.25
CMR_2010,43.39
CMR_2011,43.59
COG_1970,27.72
COG_1971,29.09
COG_1972,28.62
COG_1973,29.40
COG_1974,31.00
COG_1975,30.72
COG_1976,30.97
COG_1977,31.11
COG_1978,31.40
COG_1979,31.66
COG_1980,32.78
COG_1981,32.30
COG_1982,32.28
COG_1983,32.66
COG_1984,32.07
COG_1985,33.83
COG_1986,34.04
COG_1987,32.20
COG_1988,31.04
COG_1989,35.66
COG_1990,33.92
COG_1991,35.10
COG_1992,34.32
COG_1993,36.41
COG_1994,39.76
COG_1995,40.14
COG_1996,40.21
COG_1997,41.06
COG_1998,40.37
