country_year,BCA,KC,KG,KI,LE,OPENK,POP,RGDPCH,RGDPL,RGDPL2,XRAT
CAN_1981,-6.5368862,69.97921563,7.520812754,20.49744114,11.294,39.60161458,24900.0,23837.87933,23836.65149,24089.94263,1.19891
CAN_1982,1.03486494,70.65732811,7.944156558,16.52578929,10.951,37.54500144,25201.9,22719.24918,22737.89103,23118.79788,1.23373
CAN_1983,-1.46551384,70.16074647,7.81386996,17.67171638,11.025,39.1136745,25456.3,23254.03014,23265.11937,23611.29616,1.23242
CAN_1984,-0.77225038,68.87610007,7.435433112,18.61473941,11.3,43.40089924,25701.8,24458.37692,24466.5667,24772.40508,1.29507
CAN_1985,-3.53313324,68.97059673,7.397512798,19.20294837,11.619,44.04511949,25941.6,25402.2965,25407.93173,25705.27983,1.36548
CAN_1986,-7.03231524,69.44019604,7.309894538,19.32953871,11.978,45.14792768,26203.8,25908.02618,25914.73855,26212.51776,1.3895
CAN_1987,-8.70389532,69.03920942,7.069161857,20.51023005,12.319,44.82901645,26549.7,26801.27348,26797.44782,27048.38684,1.32599
CAN_1988,-9.98516078,68.8438412,7.066177449,21.46269487,12.711,47.58035172,26894.8,27690.40511,27671.58429,27895.66588,1.23071
CAN_1989,-15.16848177,69.11750758,7.047560605,22.32863203,12.995,47.70515745,27379.3,28035.28798,28003.72913,28200.96947,1.18399
CAN_1990,-14.32810936,69.92441965,7.297285003,20.5919943,13.084,49.33068126,27790.6,27576.95849,27585.08064,27861.18983,1.16678
CAN_1991,-16.73715687,70.70838487,7.716576216,19.45796968,12.855,51.7583756,28117.9,26495.56861,26537.40358,26871.04838,1.14572
CAN_1992,-16.07102638,70.89733111,7.694155739,18.55448671,12.73,54.16253781,28544.892,26415.94401,26471.74281,26834.94999,1.20873
CAN_1993,-17.0484304,70.11372473,7.478652191,18.46540478,12.797,57.46094735,28953.336,26807.09878,26860.32436,27213.30696,1.29007
CAN_1994,-10.3786102,68.30029755,7.142474311,19.17884063,13.061,60.05158175,29330.81,28009.649,28044.17561,28352.36699,1.36564
CAN_1995,-3.62734225,67.42588595,6.865662943,19.30991398,13.297,62.56435318,29690.529,28486.23348,28516.00895,28800.42264,1.37244
CAN_1996,2.80578466,67.58055733,6.632817416,19.00650971,13.419,64.84345177,30026.324,28636.80904,28669.40248,28953.24584,1.36347
CAN_1997,-6.96564837,66.62341289,6.470526021,21.52991011,13.705,68.7255183,30305.602,29751.72745,29743.43193,29924.43049,1.38462
CAN_1998,-6.5556578,65.72257554,6.495237549,20.91395647,14.047,70.83580157,30551.66,30708.92645,30702.98923,30907.31917,1.48346
CAN_1999,1.5023839,64.3859108,6.269333458,21.27387493,14.408,73.34029569,30820.257,32160.11763,32152.6607,32323.89526,1.48573
CAN_2000,17.48533176,63.45538206,6.137114875,21.81923545,14.766,75.58498979,31099.561,33574.98083,33565.19152,33702.19597,1.48511
CAN_2001,14.70593943,64.05943417,6.333757699,20.67907295,14.939,71.55598119,31376.736,33763.84445,33762.80892,33969.4712,1.54876
CAN_2002,11.61946188,64.36991396,6.32917282,20.6689042,15.296,70.53165286,31640.962,34450.72851,34449.73468,34663.81029,1.56932
CAN_2003,9.8427556,64.92233416,6.425873296,22.32429835,15.659,69.48660005,31889.309,34892.24519,34885.26541,35041.95642,1.40105
CAN_2004,22.19690124,64.8049773,6.28588853,23.41415544,15.927,71.54173328,32134.763,35766.2578,35765.43468,35864.8362,1.30102
CAN_2005,21.376,64.91262566,6.071300608,25.2731172,16.128,72.25519161,32386.378,36653.89691,36653.89691,36653.89691,1.21176
CAN_2006,18.64764784,65.56567073,6.108422557,26.11097627,16.412,72.12507146,32656.679,37379.82782,37379.82782,37350.34086,1.13436
CAN_2007,12.6303903,66.91477647,6.11392871,26.37993181,16.803,73.02457987,32935.961,37884.43127,37885.72327,37858.25795,1.0741
CAN_2008,5.36942935,68.67815696,6.408645523,26.57589642,17.082,71.4855064,33212.696,37749.21194,37750.49118,37757.07157,1.06704
CAN_2009,-43.34391117,71.53783337,6.901581493,23.1852121,16.816,63.79474499,33487.208,36247.47232,36252.85317,36483.05083,1.1431
CAN_2010,-54.80279375,71.4986989,6.8548342,25.45599575,17.046,67.9107279,33759.742,37103.55928,37110.40315,37235.43217,1.03016
CHE_1980,-0.3058688,63.77368548,4.498923791,28.00237791,3.166,48.17092385,6385.229,30020.55769,30010.41411,29933.01416,1.6757
CHE_1981,1.385155,63.88769686,4.561495249,25.61955535,3.24,50.08454862,6425.45,30078.44875,30083.51935,30132.75047,1.9642
CHE_1982,2.13461691,64.86003092,4.644444839,24.46926054,3.256,50.65027652,6468.126,29522.38176,29537.50439,29664.3537,2.0303
CHE_1983,2.14234832,65.03181754,4.722966592,24.93148917,3.256,52.01108741,6501.073,29641.46513,29652.61166,29763.94551,2.0991
CHE_1984,2.5362832,63.86616332,4.650645085,26.18770258,3.288,54.85670329,6529.684,30448.59364,30451.80699,30476.95642,2.3497
CHE_1985,3.03271388,63.04179475,4.747998476,25.65160738,3.354,56.57009359,6563.77,31187.94995,31191.6405,31236.55438,2.4571
CHE_1986,4.22417646,63.11773306,4.794746767,27.26534729,3.43,57.85812109,6603.192,31699.77291,31688.73515,31651.86931,1.7989
CHE_1987,4.72724967,63.59317131,4.83643121,27.89823864,3.515,59.08927774,6649.942,31929.91919,31914.46499,31854.27831,1.4912
CHE_1988,5.89468432,62.86791148,4.9150475,28.23435037,3.606,60.41238929,6704.112,32599.37409,32572.74835,32483.94,1.4633
CHE_1989,4.71592906,61.90778414,5.143695823,29.00436327,3.703,61.37945743,6763.653,33602.76905,33555.18187,33415.56737,1.6359
CHE_1990,5.99991386,60.65766447,5.210186831,30.38929419,3.819,61.38673519,6836.626,34385.17524,34295.94619,34052.42004,1.38916
CHE_1991,7.6020168,62.71150567,5.150091817,28.31058017,4.066,61.27845229,6920.562,33551.19188,33535.87592,33451.59365,1.43399
CHE_1992,11.22007504,63.12097872,5.164811874,25.84054506,4.069,61.56647258,6995.447,33070.92257,33100.28102,33164.21602,1.40622
CHE_1993,14.8054219,62.99378155,5.00383329,25.60972762,4.025,62.15026758,7058.211,32710.74,32739.80176,32803.76176,1.47762
CHE_1994,13.5522282,62.55842487,5.080824996,27.5448356,3.999,63.92553772,7114.53,33007.75862,33002.71943,32955.47414,1.36769
CHE_1995,17.055445,62.85616373,4.820919626,28.50243254,3.997,64.92913756,7157.106,33006.919,32990.70434,32879.84885,1.18247
CHE_1996,17.95901764,63.19183366,4.940634196,28.02321659,3.994,67.11452463,7181.024,33039.86875,33033.6951,32963.13089,1.23601
CHE_1997,21.45040569,63.08775585,4.679807906,27.04554679,3.991,72.32358199,7193.761,33576.99774,33581.61424,33547.37377,1.45131
CHE_1998,21.54209693,62.35436296,4.472913435,28.91950231,4.045,74.16576516,7207.995,34566.90632,34554.96938,34382.40382,1.44981
CHE_1999,25.27044457,63.15891978,4.430935642,27.11151029,4.076,77.47649713,7232.809,34747.87784,34738.31889,34684.5446,1.50215
CHE_2000,26.70620922,62.38786941,4.464603462,26.62615885,4.116,83.43902591,7266.92,35797.30666,35788.02657,35748.43266,1.68884
CHE_2001,18.97373751,63.16365854,4.686095128,26.34359757,4.183,83.64174454,7311.237,35957.32546,35952.51156,35960.57138,1.68761
CHE_2002,22.634118,63.25090378,4.5203951,26.07684396,4.213,82.83191678,7361.757,35856.9758,35851.80786,35866.91445,1.55861
CHE_2003,40.70679805,64.30230217,4.417722053,25.82772827,4.199,83.38820727,7408.319,35524.77044,35521.70823,35566.37442,1.34665
CHE_2004,46.99734588,63.54146965,4.411685314,26.06624241,4.21,87.50061423,7450.867,36226.723,36226.69167,36241.40397,1.2435
CHE_2005,52.444,62.93346408,4.323547022,26.0044974,4.24,91.41022175,7489.37,36993.95293,36993.95293,36993.95293,1.24518
CHE_2006,60.03192343,61.5555268,4.234660155,25.48321704,4.328,95.762318,7523.934,38164.72245,38164.72245,38162.0196,1.25384
CHE_2007,41.25537999,60.71931588,4.04217026,24.51082892,4.441,99.85941061,7554.661,39372.06484,39374.88389,39404.12002,1.20037
CHE_2008,11.87246522,60.55413347,3.983309953,23.38001098,4.548,99.76144974,7581.52,39997.5709,40003.39752,40101.58861,1.08309
CHE_2009,58.88059982,62.77416627,4.229875647,23.10746427,4.568,94.4851057,7604.467,39062.74207,39069.54111,39250.9192,1.08814
CHE_2010,87.20276038,62.14208247,4.13770772,22.85249488,4.6,99.35842508,7623.438,39978.02568,39985.62348,40167.25118,1.04291
CYP_1981,-0.0899044,61.7401562,8.348553076,36.42406,0.229,81.77662909,638.047,9081.889889,9005.322875,8831.699102,0.720057202
CYP_1982,-0.09871702,64.84105704,8.231675504,35.64414297,0.231,85.73647352,645.323,9463.258786,9387.840686,9212.678787,0.812245027
CYP_1983,-0.1181866,65.83290859,8.284535842,33.6301356,0.232,86.67315265,656.496,9812.052121,9740.772722,9591.473223,0.899819181
CYP_1984,-0.13279596,63.08186514,7.891402749,37.75200232,0.235,92.06727522,667.97,10520.12044,10435.35852,10190.88647,1.005316929
CYP_1985,-0.1109304,64.29214541,7.889472308,34.45961939,0.238,86.12986738,679.224,10720.65162,10643.65898,10448.06731,1.04660777
CYP_1986,-0.01196829,64.08384351,7.99459956,30.31846307,0.239,78.83485267,690.425,10768.32193,10704.99327,10581.81607,0.885300019
CYP_1987,-0.00518552,63.38532095,9.410043756,29.68058466,0.242,82.41914674,701.618,11521.2196,11452.26912,11405.52557,0.822002316
CYP_1988,-0.07240968,62.70103164,9.157909792,30.27659256,0.25,83.65249038,713.026,12644.27023,12563.78828,12486.70669,0.797282697
CYP_1989,-0.17324673,61.39768975,8.594628764,33.73383607,0.26,91.35171645,726.864,13501.18257,13386.31462,13198.82129,0.845116846
CYP_1990,-0.11128348,63.26618343,9.46783092,30.15917967,0.262,91.44768481,745.055,13999.56085,13921.99562,13858.57349,0.782676006
CYP_1991,-0.3142566,68.76368854,9.749638797,28.5231663,0.256,87.88840372,766.231,13700.60354,13662.27037,13650.77819,0.793523205
CYP_1992,-0.48869524,65.65479383,10.15668867,32.36656416,0.267,95.21769636,788.474,14578.50063,14500.53576,14429.90344,0.768099358
CYP_1993,0.086119,62.89025342,8.871399331,27.54799299,0.267,86.50644907,809.76,13911.80799,13857.32741,13812.56703,0.849867185
CYP_1994,0.0591556,61.4484163,8.659676586,29.49013946,0.271,87.8808408,829.209,14506.98964,14430.79183,14327.40114,0.840958252
CYP_1995,-0.16729025,67.32324819,7.003005489,25.20439699,0.284,93.17928675,847.345,15605.85021,15553.17838,15426.05263,0.773005749
CYP_1996,-0.38918412,69.15118982,7.939318204,24.63596723,0.286,97.0073882,864.299,15485.89463,15445.11385,15397.6442,0.796740074
CYP_1997,-0.35374086,70.05143298,8.506807844,21.92010344,0.286,97.51937157,879.853,15436.07908,15420.92624,15477.6689,0.878045725
CYP_1998,0.24990236,70.35526402,8.410692932,21.72692449,0.289,94.62966663,893.734,15953.85077,15939.18934,15995.55157,0.884757538
CYP_1999,-0.1476331,69.51543945,8.75547075,19.68044216,0.279,96.23330463,906.875,16402.21645,16389.45799,16525.05061,0.927681308
CYP_2000,-0.43385058,69.88577015,7.869147913,21.00659738,0.296,101.5808717,919.68,17089.32513,17074.11847,17111.59914,1.063449114
CYP_2001,-0.28669732,70.36197833,8.423510972,19.53466919,0.31,103.7218096,932.632,17440.45939,17431.41214,17553.02016,1.098813592
CYP_2002,-0.36233028,70.23352889,8.773117981,21.78376452,0.317,98.78718801,946.814,17579.14541,17567.8028,17657.33933,1.043374539
CYP_2003,-0.27958095,71.08496551,9.160608085,20.62196464,0.329,96.97956563,964.652,17511.27203,17503.32771,17654.47328,0.884104303
CYP_2004,-0.76267368,71.23509025,8.231508607,23.63023319,0.34,99.52430726,987.191,17985.32833,17985.40049,17981.2892,0.800651579
CYP_2005,-0.995,70.96760165,8.1944,23.37563871,0.348,99.96361959,1010.74,18240.10068,18240.10068,18240.10068,0.792911537
CYP_2006,-1.32445373,71.45520777,8.421508018,24.22676467,0.357,100.9774246,1031.03,18624.43284,18624.43284,18619.04177,0.784104448
CYP_2007,-2.72472255,73.93150618,7.91078702,25.87462102,0.378,105.0963558,1048.906,19333.84006,19333.06557,19232.68785,0.728077789
CYP_2008,-4.28142769,76.68467942,8.050123585,27.43105773,0.383,105.9335159,1066.817,19725.23757,19724.42858,19586.25333,0.682674711
CYP_2009,-2.75794022,73.70512903,8.782353129,23.97635362,0.381,92.19945999,1084.748,18877.70026,18875.16766,18907.24093,0.71984336
CYP_2010,-2.52176096,74.61560737,8.747393693,22.95297479,0.385,96.37858454,1102.677,18755.66964,18753.76375,18811.9835,0.755044952
CZE_1995,-1.1212527,66.32707131,9.453315999,25.97183172,4.995,69.80507065,10323.83,15079.02229,15063.23452,15074.66024,26.5407
CZE_1996,-3.43197193,67.2392386,8.568640429,27.86621252,4.98,72.65217906,10311.817,15879.09347,15845.71066,15848.10155,27.1449
CZE_1997,-3.06518994,68.36355241,9.331373323,25.17079813,4.927,78.89004641,10300.707,15787.88695,15781.6457,15759.02617,31.6984
CZE_1998,-1.11942564,67.83766012,8.949204916,24.55072538,4.822,86.64653602,10290.949,15718.13619,15713.30538,15675.53772,32.2812
