"","EC1","EC2","EC3","EC4","EC5","EC6"
"ec:2.3.1.61",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.86",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.1.9",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.2.2",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.3.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.3.10",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.3.13",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.3.14",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.3.3.9",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.11",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.117",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.132",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.142",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.15",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.16",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.18",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.198",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.232",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.25",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.256",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.257",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.258",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.259",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.260",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.261",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.265",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.267",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.1.34",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.10",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.11",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.14",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.17",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.18",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.19",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.4.2.28",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
